"Predicted Value","Depth","Variable Label","Link Width","Node ID","Node ID","Proportion Correctly Classified","Parent ID","Predicted Value","Split","Split Variable","Weight","Count","Average (validation)","Count (validation)"
"492.6882","6","","0,2043","60","60","492,6882","38","492,6882",">= 476.8","","764","764","492.7533","105"
"498.0582","6","","0,1995","61","61","498,0582","39","498,0582","< 486.4 or MISSING","","746","746","498.7954","109"
"502.2971","6","","0,2016","62","62","502,2971","39","502,2971",">= 486.4","","754","754","503.9176","108"
"513.1529","6","","0,1981","63","63","513,1529","41","513,1529","< 499.1 or MISSING","","741","741","512.8661","115"
"516.0562","6","","0,2027","64","64","516,0562","41","516,0562",">= 499.1","","758","758","519.3566","83"
"518.3391","6","","0,2016","65","65","518,3391","42","518,3391","< 506.4 or MISSING","","754","754","516.273","100"
"521.827","6","","0,1971","66","66","521,8270","42","521,8270",">= 506.4","","737","737","520.1172","99"
"525.5063","6","","0,2035","67","67","525,5063","43","525,5063","< 513.6 or MISSING","","761","761","526.8083","109"
"531.3602","6","Nota da prova de Ciências da Natureza","0,3963","68","68","531,3602","43","531,3602",">= 513.6","NOTA_CIENCIAS_DA_NATUREZA","1.482","1482","532.981","247"
"536.5238","6","","0,2019","69","69","536,5238","44","536,5238","< 523.6 or MISSING","","755","755","531.6118","110"
"539.1688","6","","0,2016","70","70","539,1688","44","539,1688",">= 523.6","","754","754","543.7364","99"
"542.7538","6","","0,1981","71","71","542,7538","45","542,7538","< 530.1 or MISSING","","741","741","542.1027","111"
"544.6392","6","","0,1997","72","72","544,6392","45","544,6392",">= 530.1","","747","747","544.5038","105"
"550.4723","6","Nota da prova de Ciências da Natureza","0,6016","73","73","550,4723","46","550,4723","< 541.7 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","2.250","2250","548.8847","352"
"555.5519","6","","0,1995","74","74","555,5519","46","555,5519",">= 541.7","","746","746","556.4162","99"
"559.8082","6","","0,2000","75","75","559,8082","47","559,8082","< 547.1 or MISSING","","748","748","556.9155","110"
"563.0708","6","","0,4013","76","76","563,0708","47","563,0708",">= 547.1","","1.501","1501","563.0948","230"
"573.211","6","","0,3987","77","77","573,2110","49","573,2110","< 563.8 or MISSING","","1.491","1491","573.7077","196"
"577.2259","6","","0,2016","78","78","577,2259","49","577,2259",">= 563.8","","754","754","577.363","81"
"581.46","6","","0,2024","79","79","581,4600","50","581,4600","< 569.922 or MISSING","","757","757","575.8197","127"
"583.1235","6","","0,1976","80","80","583,1235","50","583,1235",">= 569.922","","739","739","582.3068","103"
"585.7153","6","","0,1989","81","81","585,7153","51","585,7153","< 576.6 or MISSING","","744","744","583.2766","94"
"590.9827","6","Nota da prova de Ciências da Natureza","0,4013","82","82","590,9827","51","590,9827",">= 576.6","NOTA_CIENCIAS_DA_NATUREZA","1.501","1501","593.9437","197"
"596.9995","6","","0,2000","83","83","596,9995","52","596,9995","< 588.7 or MISSING","","748","748","593.5547","95"
"599.4822","6","","0,2013","84","84","599,4822","52","599,4822",">= 588.7","","753","753","603.5688","112"
"530.4412","7","","0,1971","85","85","530,4412","68","530,4412","< 517 or MISSING","","737","737","529.6274","113"
"532.2693","7","","0,1992","86","86","532,2693","68","532,2693",">= 517","","745","745","535.809","134"
"549.6292","7","","0,3997","87","87","549,6292","73","549,6292","< 538.8 or MISSING","","1.495","1495","547.0617","230"
"552.1417","7","","0,2019","88","88","552,1417","73","552,1417",">= 538.8","","755","755","552.3213","122"
"589.455","7","","0,1992","89","89","589,4550","82","589,4550","< 580.2 or MISSING","","745","745","589.989","100"
"592.4881","7","","0,2021","90","90","592,4881","82","592,4881",">= 580.2","","756","756","598.0206","97"
